areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2020-11-19,340,54751
overview,United Kingdom,K02000001,2020-11-18,407,54411
overview,United Kingdom,K02000001,2020-11-17,391,54004
overview,United Kingdom,K02000001,2020-11-16,387,53613
overview,United Kingdom,K02000001,2020-11-15,407,53226
overview,United Kingdom,K02000001,2020-11-14,393,52819
overview,United Kingdom,K02000001,2020-11-13,408,52426
overview,United Kingdom,K02000001,2020-11-12,393,52018
overview,United Kingdom,K02000001,2020-11-11,383,51625
overview,United Kingdom,K02000001,2020-11-10,386,51242
overview,United Kingdom,K02000001,2020-11-09,469,50856
overview,United Kingdom,K02000001,2020-11-08,410,50387
overview,United Kingdom,K02000001,2020-11-07,376,49977
overview,United Kingdom,K02000001,2020-11-06,394,49601
overview,United Kingdom,K02000001,2020-11-05,379,49207
overview,United Kingdom,K02000001,2020-11-04,325,48828
overview,United Kingdom,K02000001,2020-11-03,356,48503
overview,United Kingdom,K02000001,2020-11-02,329,48147
overview,United Kingdom,K02000001,2020-11-01,356,47818
overview,United Kingdom,K02000001,2020-10-31,319,47462
overview,United Kingdom,K02000001,2020-10-30,338,47143
overview,United Kingdom,K02000001,2020-10-29,310,46805
overview,United Kingdom,K02000001,2020-10-28,281,46495
overview,United Kingdom,K02000001,2020-10-27,266,46214
overview,United Kingdom,K02000001,2020-10-26,276,45948
overview,United Kingdom,K02000001,2020-10-25,247,45672
overview,United Kingdom,K02000001,2020-10-24,211,45425
overview,United Kingdom,K02000001,2020-10-23,222,45214
overview,United Kingdom,K02000001,2020-10-22,234,44992
overview,United Kingdom,K02000001,2020-10-21,222,44758
overview,United Kingdom,K02000001,2020-10-20,194,44536
overview,United Kingdom,K02000001,2020-10-19,190,44342
overview,United Kingdom,K02000001,2020-10-18,158,44152
overview,United Kingdom,K02000001,2020-10-17,175,43994
overview,United Kingdom,K02000001,2020-10-16,146,43819
overview,United Kingdom,K02000001,2020-10-15,151,43673
overview,United Kingdom,K02000001,2020-10-14,114,43522
overview,United Kingdom,K02000001,2020-10-13,110,43408
overview,United Kingdom,K02000001,2020-10-12,111,43298
overview,United Kingdom,K02000001,2020-10-11,122,43187
overview,United Kingdom,K02000001,2020-10-10,103,43065
overview,United Kingdom,K02000001,2020-10-09,79,42962
overview,United Kingdom,K02000001,2020-10-08,92,42883
overview,United Kingdom,K02000001,2020-10-07,101,42791
overview,United Kingdom,K02000001,2020-10-06,69,42690
overview,United Kingdom,K02000001,2020-10-05,69,42621
overview,United Kingdom,K02000001,2020-10-04,60,42552
overview,United Kingdom,K02000001,2020-10-03,66,42492
overview,United Kingdom,K02000001,2020-10-02,68,42426
overview,United Kingdom,K02000001,2020-10-01,66,42358
overview,United Kingdom,K02000001,2020-09-30,57,42292
overview,United Kingdom,K02000001,2020-09-29,48,42235
overview,United Kingdom,K02000001,2020-09-28,54,42187
overview,United Kingdom,K02000001,2020-09-27,46,42133
overview,United Kingdom,K02000001,2020-09-26,40,42087
overview,United Kingdom,K02000001,2020-09-25,32,42047
overview,United Kingdom,K02000001,2020-09-24,35,42015
overview,United Kingdom,K02000001,2020-09-23,56,41980
overview,United Kingdom,K02000001,2020-09-22,38,41924
overview,United Kingdom,K02000001,2020-09-21,27,41886
overview,United Kingdom,K02000001,2020-09-20,31,41859
overview,United Kingdom,K02000001,2020-09-19,20,41828
overview,United Kingdom,K02000001,2020-09-18,23,41808
overview,United Kingdom,K02000001,2020-09-17,27,41785
overview,United Kingdom,K02000001,2020-09-16,26,41758
overview,United Kingdom,K02000001,2020-09-15,17,41732
overview,United Kingdom,K02000001,2020-09-14,21,41715
overview,United Kingdom,K02000001,2020-09-13,16,41694
overview,United Kingdom,K02000001,2020-09-12,18,41678
overview,United Kingdom,K02000001,2020-09-11,13,41660
overview,United Kingdom,K02000001,2020-09-10,13,41647
overview,United Kingdom,K02000001,2020-09-09,9,41634
overview,United Kingdom,K02000001,2020-09-08,9,41625
overview,United Kingdom,K02000001,2020-09-07,15,41616
overview,United Kingdom,K02000001,2020-09-06,8,41601
overview,United Kingdom,K02000001,2020-09-05,13,41593
overview,United Kingdom,K02000001,2020-09-04,7,41580
overview,United Kingdom,K02000001,2020-09-03,10,41573
overview,United Kingdom,K02000001,2020-09-02,9,41563
overview,United Kingdom,K02000001,2020-09-01,3,41554
overview,United Kingdom,K02000001,2020-08-31,9,41551
overview,United Kingdom,K02000001,2020-08-30,6,41542
overview,United Kingdom,K02000001,2020-08-29,5,41536
overview,United Kingdom,K02000001,2020-08-28,10,41531
overview,United Kingdom,K02000001,2020-08-27,8,41521
